image_name,item1,item2,item3,item1_description,item2_description,item3_description,overall_description,d1_len,d2_len,d3_len,dall_len
kodim05.png,,,,,,," The image features a group of motorcyclists lined up on a dirt track. There are five motorcycles in total, with each rider wearing a helmet. The riders are standing next to their bikes, showcasing their skills and preparing for the race. The scene captures the excitement and anticipation of the event, as the riders and their motorcycles are ready to compete.",,,,
kodim22.png,,,,,,," The image features a red barn with a white roof, surrounded by a lush green field. The barn is situated next to a pond, which adds to the serene atmosphere of the scene. The barn is also situated near a farm, indicating that it is likely used for agricultural purposes. The combination of the barn, pond, and green field creates a picturesque and peaceful setting.",,,,
kodim14.png,,,,,,,"12 people are on a raft, enjoying a ride down a river. They are wearing life jackets for safety, and some of them are holding paddles. The group is diverse, with individuals of different ages and genders. They are all smiling and having a great time together, creating a sense of camaraderie and adventure.",,,,
kodim17.png,,,,,,, The image features a statue of a man wearing a gold crown and holding a golden ball. The statue appears to be made of marble and is positioned in front of a wall. The man's attire and the golden ball he holds suggest that the statue may represent a figure of importance or a symbol of wealth and power.,,,,
kodim12.png,,,,,,," The image depicts a man and a woman walking on a beach, each holding a yellow and pink water ski. They are enjoying their time together, possibly preparing for a water skiing adventure. The beach is lined with trees, providing a serene and picturesque setting for their outdoor activity.",,,,
kodim24.png,,,,,,," The image features a large, colorful house with a red roof. The house is adorned with various paintings and murals, giving it a unique and artistic appearance. The house also has a balcony and a fireplace, adding to its charm. The scene is set in a mountainous area, with a forest visible in the background. The overall atmosphere of the image is lively and vibrant, showcasing the beauty of the house and its surroundings.",,,,
kodim21.png,,,,,,," The image features a picturesque lighthouse situated on a rocky coastline. The lighthouse is surrounded by a few houses, with one house being particularly large. The houses are situated near the water, providing a beautiful view of the ocean. The lighthouse stands tall, guiding ships through the waters, and serves as a prominent landmark in the area.",,,,
kodim09.png,,,,,,," The image captures a group of people sailing in the ocean on a sunny day. There are several boats in the water, with some of them being sailboats. The people on the boats are enjoying the day and the water. The scene is lively and full of energy, as the sailors navigate their boats through the water.",,,,
kodim04.png,,,,,,," The image features a woman wearing a red hat and a red scarf. She is smiling and posing for the camera. The woman is wearing a white necklace and has a red lipstick on. The background is pink, adding a contrasting color to the scene.",,,,
kodim16.png,,,,,,," The image features a beautiful tropical island surrounded by a large body of water. The island is covered with palm trees, creating a serene and picturesque scene. The water is calm, making it an ideal location for relaxation and leisure activities. The island appears to be a popular destination for tourists, as there are several boats visible in the water, likely transporting visitors to the island. Overall, the scene exudes a sense of tranquility and natural beauty.",,,,
kodim15.png,,,,,,, The image features a young girl with a colorful and creative design on her face. She is wearing a colorful shirt and has a yellow sun painted on her forehead. The girl is smiling and appears to be enjoying the artistic expression. The vibrant colors and unique design make the scene lively and engaging.,,,,
kodim02.png,,,,,,," The image features a red door with a white knob on it. The knob is adorned with a small white ball, adding a unique touch to the door. The door is open, revealing a rustic interior. The red door stands out against the white ball, creating a visually striking scene.",,,,
kodim11.png,,,,,,," The image features a small boat docked at a pier. The boat is situated near a rusted pier, and it appears to be in a state of disrepair. The boat is surrounded by a body of water, and there are a few other boats visible in the background. The scene gives off a sense of abandonment and neglect, as the boats seem to be left unattended.",,,,
kodim07.png,,,,,,," The image features a beautiful pink flower with a yellow center, sitting on a branch in front of a window. The flower is surrounded by green leaves, creating a vibrant and lively scene. The window is adorned with blue shutters, adding a touch of color to the overall composition. The combination of the flower, greenery, and the blue shutters creates a serene and inviting atmosphere.",,,,
kodim23.png,,,,,,," The image features two colorful birds, a yellow and blue parrot and a red parrot, standing next to each other. They are positioned in front of a green background, which adds to the vibrant colors of the birds. The birds appear to be looking at the camera, capturing the viewer's attention. The scene is lively and full of energy, showcasing the beauty of these exotic birds.",,,,
kodim18.png,,,,,,," The image features a woman wearing a black dress and holding a sculpture. She is standing in front of a large metal sculpture, which appears to be a piece of art. The woman is also wearing a necklace, adding to the overall aesthetic of the scene. The setting seems to be an outdoor area, with a clock visible in the background.",,,,
kodim01.png,,,,,,," The image features a red brick building with a white door and two red shutters. The door is open, revealing the interior of the building. The building has a total of four windows, with two on each side. The windows are open, allowing natural light to enter the building. The scene is set in a courtyard, giving a sense of openness and tranquility.",,,,
kodim08.png,,,,,,," The image features a row of colorful houses with snow on their roofs. The houses are situated in a quaint village, and the buildings are adorned with snow, giving them a charming appearance. The houses are of various sizes and colors, creating a visually appealing scene. The snow-covered roofs add a touch of winter charm to the village, making it an inviting and picturesque location.",,,,
kodim06.png,,,,,,," The image features a small boat floating on a large body of water. The boat is white and blue, and it appears to be a sailboat. There are two people on the boat, one standing closer to the front and the other near the back. The boat is surrounded by a beautiful blue ocean, creating a serene and picturesque scene.",,,,
kodim10.png,,,,,,," The image features a group of people sailing on a boat in the ocean. There are at least five people visible on the boat, with some sitting and others standing. The boat is equipped with a sail, which is being used to propel the vessel through the water. The people on the boat appear to be enjoying their time together, taking in the beautiful ocean scenery.",,,,
kodim19.png,,,,,,," The image features a white lighthouse situated next to a white picket fence. The lighthouse is tall and stands out in the scene. The fence is adorned with a life preserver, adding a touch of humor to the otherwise serene setting. The sky above the lighthouse is cloudy, creating a moody atmosphere. The combination of the lighthouse, fence, and life preserver creates a unique and interesting scene.",,,,
kodim13.png,,,,,,," The image depicts a serene mountain stream surrounded by lush green trees. The water flows gently, creating a peaceful atmosphere. The stream is lined with rocks, adding to the natural beauty of the scene. The surrounding trees provide a sense of tranquility, making it an ideal location for relaxation and reflection.",,,,
kodim20.png,,,,,,," The image features a silver and black airplane with a cartoon character painted on the side. The plane is parked on a grassy field, and it appears to be a vintage aircraft. The scene also includes a few people scattered around the area, possibly admiring the plane or attending to other activities.",,,,
kodim03.png,,,,,,," The image features a wooden fence with a row of colorful hats hanging on it. There are six hats in total, each with a different color. The hats are arranged in a visually appealing manner, with the brightest hues on the left side and the more subdued colors on the right side. The hats are likely being displayed for sale or as a decorative element.",,,,
